name,description,neighborhood_overview,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
Beautiful 2 Bed 2 Private Bath near MIT/Harvard,"This is a beautiful renovated apartment in Inman Square, Cambridge. Walking distance from MIT and Harvard, surrounded by great restaurants and bars such as Oleana, Atasca, Lord Hobo, Ole, Punjabi dhaba etc. - 6 min walk from grocery stores like Walgreens and Whole foods - 3 min walk to the closest bus stop - 10 min walk to Central Square T stop - 16 min walk to Kendall Square T stop - 20 min walk to Harvard","The neighborhood is quiet but you can reach a very lively area with bars, a jazz club and plenty of places to eat with a 5 minute walk.","Cambridge, MA",,N/A,N/A,N/A,Cambridge,1,5,"['email', 'phone']",Neighborhood highlights,Wellington-Harrington,,42.37177,-71.09794,Entire rental unit,Entire home/apt,6,,2 baths,2,,"[""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hot water kettle"", ""Oven"", ""Free parking on premises"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Dryer"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Heating"", ""Washer""]",,0,0,0,0,0,0,,,,,,,,,1,1,0,0,
Cambridge Vacation Rental Rooms M807 #3,"Private room in spacious,  luxurious home  with common kitchen, living and dining rooms,  porch and deck. The  3 bdrm house offers 2  rooms (rent separately),  each with private bath w/ Jacuzzi.  Decorated with a sophisticated eye & high-end materials. Close to Harvard, MIT.  Quiet street. 10 minute walk to metro. 1 stop to Harvard. 3 stops to Freedom Trail & attractions.  One queen bed and a single air mattress for a small person $30/night. Read about parking below.",Quiet street but near restaurants and public transportation.,"Boston, MA","I am the owner of a small local and reputable company representing accommodations in Metro Boston since 1981 and a long-standing member of the Greater Boston Convention and Visitors Bureau, Massachusetts Lodging Association and Professional Association of Innkeepers International. We own, manage and work closely with each property owner to ensure that they meet safety standards, are well maintained, clean and in desirable locations, giving you comfort in knowing there are no scams and meeting your expectations.  Our team at Bed and Breakfast Associates Bay Colony have detailed knowledge of the accommodations and locations. We encourage phone conversations, give personal attention to each inquiry, and are totally committed to providing each guest with exceptional quality, value and customer service.  ",within a day,100%,83%,South End,11,18,"['email', 'phone', 'work_email']",Neighborhood highlights,Mid-Cambridge,,42.37184,-71.09944,Private room in home,Private room,2,1,1 private bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Free dryer \u2013 In building"", ""Central air conditioning"", ""Outdoor furniture"", ""Free street parking"", ""Cooking basics"", ""Oven"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Lockbox"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Iron"", ""Shared patio or balcony"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Free washer \u2013 In building"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Hot water"", ""Fire extinguisher"", ""Heating""]",$170.00 ,40,1,0,0,2,6,1020,4.88,4.85,4.93,4.8,4.95,4.95,4.68,2,0,2,0,0.44
#4A-Harvard & MIT Amazing Location!,"Amazing location! Gorgeous 1864 brick mansard on historic Bigelow Street (off Massachusetts Ave) Mid-Cambridge. Walk to Harvard, MIT, HBS, and Lesley! Our 1 bedroom apartment comes fully furnished and immaculate upon arrival.  Includes all utilities (high speed WIFI, AC, heat, hot water, etc.).  Pets OK (depending on the pet and direct approval). No smoking.<br /><br />Also need a car for during your stay for local shopping or roadtrips?  We rent out our Tesla through Turo -- just ask!","Fantastic neighborhood filled with great music, pubs, restaurants, bookstores, coffee shops (local and Starbucks), Whole Foods grocery and wonderful people! Walk to HKS, HBS, Harvard (Harvard sq.), and MIT (Central Square and Kendal) within minutes!","Cambridge, MA","We are a household of writers, Illustrators, animators, filmmakers, musicians, technologists, immersive storytellers, visual narrative artists, professors and entrepreneurs…",within an hour,100%,98%,Cambridge,10,13,"['email', 'phone', 'work_email']",Neighborhood highlights,Mid-Cambridge,,42.3677,-71.10584,Entire condo,Entire home/apt,4,1,1 bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Coffee maker: pour-over coffee"", ""Conditioner"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Oven"", ""Shower gel"", ""Paid washer \u2013 In building"", ""First aid kit"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Portable air conditioning"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Keypad"", ""Cleaning products"", ""Toaster"", ""Pets allowed"", ""Smoke alarm"", ""Laundromat nearby"", ""Hangers"", ""Babysitter recommendations"", ""Essentials"", ""Dining table"", ""TV"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Wifi"", ""Shampoo"", ""Radiant heating"", ""Portable fans"", ""Body soap"", ""Kitchen"", ""Dishwasher"", ""Dishes and silverware"", ""Hot water"", ""Wine glasses"", ""Private entrance"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Bikes"", ""Gas stove"", ""Paid parking off premises""]",$245.00 ,82,6,0,287,6,255,62475,4.88,4.96,4.95,5,4.99,4.98,4.74,9,9,0,0,0.89
M4/Harvard MIT Suite with Private Bath Kitchenet,"Walk to Harvard square, central square, Inman square, and Redline T stations. There are two Wholefoods within 5-10 minutes walking, Walgreens grocery is 2 blocks away. The bedroom has a desk, a chair, a comfortable full-size bed, a mini fridge. Bed is comfortable with fresh beddings and towels. The bathroom is Private and Ensuite. Sorry NO Parking. There is a shared full kitchen on the 2nd floor to cook. Central Heating for the entire house, as well as a space heater for the room.",,"Boston, MA","I love traveling, designing, cuisines, and inspiring conversations. ",within an hour,96%,100%,East Somerville,10,25,"['email', 'phone', 'work_email']",,Mid-Cambridge,,42.37326,-71.10666,Private room in home,Private room,2,1,1 shared bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hot water kettle"", ""Oven"", ""Lock on bedroom door"", ""Shower gel"", ""Luggage dropoff allowed"", ""Self check-in"", ""Hair dryer"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Keypad"", ""Dryer"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Heating""]",$53.00 ,186,52,2,62,50,255,13515,4.44,4.56,4.47,4.64,4.58,4.73,4.39,2,0,2,0,2.05
The Modica Estates with Jamal Room 1,"This room has a comfy queen sized bed, a desk,  and office chair for a working space,  high speed Wifi, shelves, and a big closet for lots of storage. The locks use access codes instead of traditional keys to make checking in a breeze. We have  a 43 inch Flatscreen on the wall with cable. a fan, a heating system and an air conditioner to keep the temperature controlled and comfortable all year long.  This is one bedroom in a 3 bedroom apartment, with one shared kitchen and bathroom.","Cambridge is an amazing city, and area four is a great neighborhood. Were close to Kendall square/ MIT, as well as Central square. There's a lot of students around here, but it is residential so there are a lot of families in the neighborhood as well.","Cambridge, MA",,within an hour,100%,100%,Cambridge,10,12,['phone'],Neighborhood highlights,The Port,,42.36455,-71.09764,Private room in rental unit,Private room,1,1,1 shared bath,2,2,"[""Refrigerator"", ""Bed linens"", ""Free street parking"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Noise decibel monitors on property"", ""Oven"", ""First aid kit"", ""Clothing storage: closet"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Iron"", ""Keypad"", ""Books and reading material"", ""Coffee"", ""Dryer"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Dining table"", ""TV"", ""Private living room"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Portable fans"", ""Body soap"", ""Stove"", ""Room-darkening shades"", ""Dishes and silverware"", ""Hot water"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating"", ""Washer""]",$64.00 ,506,88,2,85,94,255,16320,4.86,4.92,4.73,4.97,4.96,4.92,4.85,2,0,2,0,5.51
The Modica Estates with Jamal room 2,"Welcome to our cozy Cambridge home, just minutes away from MIT and Harvard. You'll share a kitchen and living area with two other guests, all accessible with keyless codes. Stay comfortable with added heating, air conditioning, and a fan. There's a dedicated workspace with a desk and chair, and entertainment provided by a new smart TV and high-speed WiFi. Conveniently located near Whole Foods and other grocery stores, and just a five-minute walk from the Central Train Station, it's the perfect","The neighborhood that I grew up in my whole life is affectionately known as Area 4. <br />We are 5-minute walk from Central Square. and 1 stop from MIT and Harvard in either direction. It's a quiet, residential neighborhood and conveniently located near local markets, stores, bars, the Red Line subway,  and the Central Square stop.","Cambridge, MA",,within an hour,100%,100%,Cambridge,10,12,['phone'],Neighborhood highlights,The Port,,42.3649,-71.09727,Private room in rental unit,Private room,1,1,1 shared bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Free street parking"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Oven"", ""Lock on bedroom door"", ""First aid kit"", ""Luggage dropoff allowed"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Keypad"", ""Books and reading material"", ""Coffee"", ""Dryer"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Dining table"", ""TV"", ""Private living room"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Portable fans"", ""Body soap"", ""Stove"", ""Room-darkening shades"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating"", ""Washer""]",$68.00 ,444,70,5,107,76,255,17340,4.85,4.92,4.66,4.96,4.95,4.91,4.82,2,0,2,0,4.84
Mid-Cambridge Comfort!,"Beautiful brand new 3 bedroom, newly renovated basement 1 & 1/2 bathroom apartment in Mid-Cambridge - walk to Harvard University, MIT and Boston. People from everywhere are welcome!","Residential neighborhood very close to Central, Harvard and Inman Squares.  Many restaurants, bars and cafes are only a 10-15 min walk and easily accessible to Boston.","Cambridge, MA",,within an hour,100%,100%,Cambridge,4,4,"['email', 'phone']",Neighborhood highlights,Mid-Cambridge,,42.37168,-71.10575,Entire rental unit,Entire home/apt,8,1.5,1.5 baths,3,3,"[""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Oven"", ""First aid kit"", ""Free parking on premises"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Iron"", ""Keypad"", ""Dryer"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Heating"", ""Washer""]",$294.00 ,157,34,0,52,42,204,59976,4.96,4.9,4.96,4.97,4.96,4.95,4.75,4,1,3,0,1.82
Harvard Sq Bright Designer 1BdrmApt-monthly rental,"Owner's apartment available for the months of July and August, 2024. Rent from July 1 to August 31 for a total fee of $6,400 all included. Security deposit required. Rental agreement required. A video meeting with owner required prior to booking<br />Please note: nightly rates do not apply. Monthly rental ONLY as described above. <br />Available July 1, 2024<br /><br />Rate includes all utilities & once a month cleaning but NOT any fees associated with payments. Ask for accepted payments methods upon inquiring","Enjoy all that Cambridge can offer (just about anything you can think of) without worrying about how to get there or having to carry anything with you: you can always stop by home for a few minutes of relaxation, have a meal delivered to you, check the internet, use your own facilities.... and then hop back into the swing of New England living. Immerse yourself into the vibrant intellectual atmosphere of Harvard Yard, Harvard Museums, MIT, the Cambridge Public Library and other educational facilities.","Cambridge, MA",Lived in Cambridge for more than 15 years. Love the neighborhood. ,N/A,N/A,0%,Cambridge,3,3,"['email', 'phone']",Neighborhood highlights,Mid-Cambridge,,42.37131,-71.11264,Entire condo,Entire home/apt,2,1,1 bath,1,1,"[""Refrigerator"", ""Single level home"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Paid washer \u2013 In building"", ""Paid dryer \u2013 In building"", ""Portable air conditioning"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Keypad"", ""Stainless steel single oven"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Dining table"", ""TV"", ""Carbon monoxide alarm"", ""Coffee maker: drip coffee maker"", ""Wifi"", ""Window AC unit"", ""Kitchen"", ""Dishes and silverware"", ""Hot water"", ""Wine glasses"", ""Fire extinguisher"", ""Gas stove"", ""Heating""]",$182.00 ,1,0,0,214,0,0,0,5,5,5,5,5,5,5,3,2,1,0,0.01
4BR 3BA Cambridge Oasis - Harvard/MIT/Boston,"Have a memorable stay at this spacious and renovated townhouse that will serve as your urban oasis.  Four bedrooms are provided for up to eight people to enjoy a good night sleep. Even better, there are three full bathrooms to avoid the long line in the morning when everyone wants to have a shower at the same time. <br />**One guest street parking pass is available upon request.**<br />**There is NO PARKING available in the lot behind the building.**","Riverside is a residential neighborhood located along the Charles River, which includes some of the oldest settled parts of Cambridge. Harvard Square and Central Square, both major commercial and transit centers, lie at either end of the neighborhood. Massachusetts Avenue, which connects the two squares, serves as the neighborhood’s retail. Smaller commercial areas exist along Putnam Avenue, Western Avenue and River Street. <br />Whole Foods  (with wine and beer) is a 5-minute walk; the Charles River (with walking and biking paths) is a 3-minute walk. <br />This is a diverse and convenient neighborhood.","Cambridge, MA",International Traveler; love to learn different culture.,within an hour,100%,92%,Cambridge,1,4,"['email', 'phone', 'work_email']",Neighborhood highlights,Riverside,,42.3676796,-71.11394501,Entire townhouse,Entire home/apt,8,3,3 baths,4,5,"[""Refrigerator"", ""Bed linens"", ""Trash compactor"", ""Central air conditioning"", ""Rice maker"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Oven"", ""Shower gel"", ""First aid kit"", ""Luggage dropoff allowed"", ""Indoor fireplace: gas"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Baby safety gates"", ""Iron"", ""Baking sheet"", ""Coffee"", ""Cleaning products"", ""Various body soap"", ""Toaster"", ""Heating"", ""Smoke alarm"", ""55 inch HDTV with Hulu, Netflix"", ""Hangers"", ""Ethernet connection"", ""Coffee maker"", ""Essentials"", ""Smart lock"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Crib"", ""Room-darkening shades"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Free driveway parking on premises \u2013 1 space"", ""Ceiling fan"", ""Wine glasses"", ""Private entrance"", ""Fire extinguisher"", ""Gas stove"", ""Various conditioner""]",$612.00 ,241,44,1,147,44,255,156060,4.96,4.97,4.94,4.94,4.95,4.93,4.73,1,1,0,0,2.74
Garden apartment in the heart of Kendall Square,"Beautiful, recently renovated (summer 2022) one bedroom, fully self contained garden apartment with access to a private courtyard and garden. The apartment is 740 sqf and is located in a restored historic townhouse in the biotech capital, Kendall Square. Walk to the subway, downtown Boston, MGH, MIT, Harvard, biotech epicenter.<br /><br />You have your own private front (with keyless Yale lock) and rear entry with access to your own private patio in the back garden.",Within a short walking distance of Lechmere Station (Green line) and Kendal Station (Red line).<br /><br />Close to the CambridgeSide Galleria as well as being a short walk to a large grocery store.<br /><br />Many good restaurants and bars within easy walking distance or a short Uber ride away.,"Boston, MA",,within an hour,100%,100%,Cambridge,1,1,"['email', 'phone']",Neighborhood highlights,East Cambridge,,42.37082,-71.08123,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Central air conditioning"", ""Courtyard view"", ""Garden view"", ""Outdoor furniture"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Drying rack for clothing"", ""Coffee maker: drip coffee maker, espresso machine"", ""Clothing storage: closet and dresser"", ""Oven"", ""Shower gel"", ""First aid kit"", ""Tivoli sound system with Bluetooth and aux"", ""Board games"", ""Fast wifi \u2013 141 Mbps"", ""Haier stainless steel gas stove"", ""Private patio or balcony"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Blender"", ""Books and reading material"", ""Coffee"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Laundromat nearby"", ""Hangers"", ""Smart lock"", ""Essentials"", ""Dining table"", ""Public Goods shampoo"", ""Public Goods body soap"", ""Cleaning available during stay"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Kitchen"", ""Portable fans"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Extra pillows and blankets"", ""Hot water"", ""Public Goods conditioner"", ""42 inch HDTV with Amazon Prime Video, Roku, Netflix"", ""Private entrance"", ""Central heating"", ""Fire extinguisher"", ""Outdoor dining area"", ""Paid parking off premises""]",$233.00 ,292,61,2,88,64,255,59415,4.98,4.99,4.98,4.98,4.99,4.93,4.84,1,1,0,0,3.43
Modern Studio - Davis/Porter/Harvard,"Newly remodeled basement with one bed, one sofa bed, one bathroom & a kitchenette. Great location with walking distance to Davis and Porter Sq (5 min walk), Harvard square (25 min walk) few steps to Lesley uni& close to Tufts. The unit is located on a quiet street. Few steps to public transportations red line, commuter rail , ( Fitchburg line/North station) , close to a Bus stops (2 min), direct line to Park street/downtown Boston.  Few steps to restaurants/ bars, theater, grocery store, & shops","Just a few steps from vibrant Davis sq where you will find a movie theater, theater, bars restaurant, French bakery as well as shops","Cambridge, MA",,within an hour,100%,98%,Cambridge,2,2,"['email', 'phone']",Neighborhood highlights,North Cambridge,,42.39196,-71.12186,Entire rental unit,Entire home/apt,4,1,1 bath,0,2,"[""Refrigerator"", ""Bed linens"", ""Clothing storage: wardrobe"", ""Free street parking"", ""Kitchenette"", ""Hot water kettle"", ""Shower gel"", ""First aid kit"", ""Luggage dropoff allowed"", ""Conditioner  conditioner"", ""Self check-in"", ""Hair dryer"", ""Backyard"", ""Dedicated workspace"", ""Microwave"", ""Iron"", ""Books and reading material"", ""Coffee"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Smart lock"", ""Essentials"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Air conditioning"", ""Portable fans"", ""Body soap"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Mini fridge"", ""Wine glasses"", ""Private entrance"", ""Fire extinguisher"", ""Heating""]",$181.00 ,360,53,1,63,53,255,46155,4.91,4.95,4.9,4.96,4.97,4.95,4.71,1,1,0,0,4.01
Harvard/MIT/Lesley/Tufts Private Room & Bath,"Private room and full ensuite bathroom in a handsome 4-br Victorian located on a quiet tree lined street between Harvard and Porter Square. Minutes from Harvard University, Lesley University, Tufts University restaurants, coffee shops. Red Line subway stop 5-min walking three stops to MIT. Parking available. Hosts live in the house and are friendly and flexible.","In between Harvard Square and Porter Square in Cambridge. <br />- Porter Square subway and commuter rail station is a 5-min walk.<br />- Harvard Law School is half a mile. Lesley College is quarter mile. Tufts University is a mile.<br />- Great restaurants and coffee shops, drugstore close by.","Cambridge, MA",I am an entrepreneur turned professor.,within an hour,100%,95%,Cambridge,1,3,"['email', 'phone', 'work_email']",Neighborhood highlights,Agassiz,,42.38449,-71.1173,Private room in home,Private room,2,1,1 private bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Conditioner"", ""Free street parking"", ""Hot water kettle"", ""EV charger"", ""Lock on bedroom door"", ""Shower gel"", ""First aid kit"", ""Clothing storage: closet"", ""Luggage dropoff allowed"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Long term stays allowed"", ""Iron"", ""Keypad"", ""Books and reading material"", ""Coffee"", ""Smoke alarm"", ""Laundromat nearby"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Air conditioning"", ""Portable fans"", ""Body soap"", ""Room-darkening shades"", ""Extra pillows and blankets"", ""Hot water"", ""Mini fridge"", ""Wine glasses"", ""Private entrance"", ""Heating""]",$144.00 ,171,23,1,121,21,138,19872,4.96,4.98,4.99,4.98,4.99,4.97,4.87,1,0,1,0,1.96
Casa Paradiso - Top Floor 1bed/1bath in Cambridge,"Welcome to my Cambridge home with the vibe of Havana! I'd love to share my sunny, professionally-designed 1 bed/1 bath with you. Please treat it with kind and respect, as I would for you and yours.<br /><br />With a walking score of 93, we're in a bustling neighborhood of great restaurants, coffee shops, craft beer pubs, and supermarkets. You can access Boston from Lechmere (Green), or Harvard Sq via the 69 bus, or bike/walk to Kendall Sq and Central Sq (Red).","+Across the street is the public library, which I love to go and read or do work<br />+Right outside is a Little Free Library book exchange. It's an adorable place where you can take and leave books. Feel free to grab some or leave some!<br />+A few doors down is a bakery with the most amazing Portuguese bread I have ever tasted. I get some once a week. <br />+A few blocks down is a local butcher shop where I get fresh eggs and meats. If there are some in the fridge during your stay, you're more than welcome to them!<br />+There's a park and community pool across the street, which is fun in the summers to watch people play softball, or sit on the grass and read a book<br />+One of my favorite places to eat is Puritan & Company, which serves a modern twist to traditional New England cuisine<br />+If you're craving Tacos, there is a fab spot called the Lone Star Taco Bar. 4.5 stars, almost 900 reviews. Just saying. <br />+Usually known for their live music, or just a casual drink at a lo","Cambridge, MA",,within an hour,100%,69%,Cambridge,1,1,"['email', 'phone']",Neighborhood highlights,Wellington-Harrington,,42.37147,-71.08872,Entire condo,Entire home/apt,2,1,1 bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Conditioner"", ""Outdoor furniture"", ""Free street parking"", ""Cooking basics"", ""Freezer"", ""Drying rack for clothing"", ""Clothing storage: closet and dresser"", ""Oven"", ""Shower gel"", ""First aid kit"", ""Board games"", ""Luggage dropoff allowed"", ""Lockbox"", ""Self check-in"", ""Outdoor kitchen"", ""Sun loungers"", ""Hair dryer"", ""Backyard"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Blender"", ""Books and reading material"", ""Coffee"", ""Cleaning products"", ""Toaster"", ""32 inch HDTV"", ""Smoke alarm"", ""Laundromat nearby"", ""BBQ grill"", ""Hangers"", ""Ethernet connection"", ""Essentials"", ""Dining table"", ""Sonos Bluetooth sound system"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Coffee maker: Keurig coffee machine"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Body soap"", ""Air conditioning"", ""Portable fans"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Stove"", ""Room-darkening shades"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Ceiling fan"", ""Wine glasses"", ""Outdoor dining area"", ""Fire extinguisher"", ""Heating""]",$164.00 ,57,5,0,38,3,30,4920,5,5,5,5,5,4.98,4.88,1,1,0,0,0.89
Quiet room -5 min to T-access to Harvard/Boston,"Very large bedroom in a beautiful 2 bedroom apartment 5 min walk to Alewife T stop. Easy access to Harvard Sq, downtown Boston, and Logan Airport. Easy access to Harvard Square and downtown Boston, and Logan Airport. Your room has wall to wall carpet, large walk-in closet, queen size bed. There is a nice front porch, shared living room, study room, kitchen, and a full bath. You'll be sharing the place so I ask everyone to keep personal belongings in your room, and common areas clean.","It's a quiet, residential neighborhood. 5 min walk to Alewife red line subway station, next to a popular bike path, 15 min walk to a trendy Davis Square.","Boston, MA","I’m a musician. I was born in Poland but I have been living in Boston for the last 25 years. I travelled extensively all over Europe and some other places around the world. My favorite destinations include Southern France, Croatia, and Cape Cod.",within an hour,100%,96%,Cambridge,22,26,"['email', 'phone']",Neighborhood highlights,North Cambridge,,42.39448,-71.13519,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Cooking basics"", ""Lock on bedroom door"", ""Self check-in"", ""Hair dryer"", ""Iron"", ""Keypad"", ""Dryer"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating"", ""Washer""]",,1,0,0,62,0,0,,5,5,5,5,5,5,5,7,2,5,0,0.01
